Name,Index,Yearly Average Price
2013,Nifty Financial Service,4662
2014,Nifty Financial Service,5929
2015,Nifty Financial Service,7399
2016,Nifty Financial Service,7209
2017,Nifty Financial Service,9389
2018,Nifty Financial Service,10900
2019,Nifty Financial Service,12769
2020,Nifty Financial Service,11846
2021,Nifty Financial Service,16957
2022,Nifty Financial Service,17459
2023,Nifty Financial Service,19412
2024,Nifty Financial Service,21335
2013,Nifty IT,7738
2014,Nifty IT,10208
2015,Nifty IT,11638
2016,Nifty IT,11093
2017,Nifty IT,10621
2018,Nifty IT,13984
2019,Nifty IT,15589
2020,Nifty IT,17497
2021,Nifty IT,30663
2022,Nifty IT,30623
2023,Nifty IT,30548
2024,Nifty IT,34916
2013,Nifty Energy,7791
2014,Nifty Energy,8947
2015,Nifty Energy,8378
2016,Nifty Energy,8984
2017,Nifty Energy,12412
2018,Nifty Energy,14173
2019,Nifty Energy,15476
2020,Nifty Energy,14611
2021,Nifty Energy,20249
2022,Nifty Energy,25958
2023,Nifty Energy,25710
2024,Nifty Energy,34189
2013,Nifty Metal,2171
2014,Nifty Metal,2194
2015,Nifty Metal,2839
2016,Nifty Metal,1926
2017,Nifty Metal,2643
2018,Nifty Metal,3573
2019,Nifty Metal,3263
2020,Nifty Metal,2488
2021,Nifty Metal,2846
2022,Nifty Metal,5679
2023,Nifty Metal,5816
2024,Nifty Metal,6662
2013,Nifty Pharma,7068
2014,Nifty Pharma,8996
2015,Nifty Pharma,12243
2016,Nifty Pharma,11249
2017,Nifty Pharma,9752
2018,Nifty Pharma,9192
2019,Nifty Pharma,8374
2020,Nifty Pharma,10083
2021,Nifty Pharma,13607
2022,Nifty Pharma,12962
2023,Nifty Pharma,13862
2024,Nifty Pharma,17296
